Event	ID	Name			Wwise Object Path	Notes
	575283655	Play_GPE_JumPads_RC			\GPE_WU\Play_GPE_JumPads_RC	
	616160567	Play_SFX_CorpseTrap_Closing			\GPE_WU\Play_SFX_CorpseTrap_Closing	
	2353660422	Play_GPE_JumpPads_Activation_RC			\GPE_WU\Play_GPE_JumpPads_Activation_RC	
	2467711998	Play_SFX_CorpseTrap_Opening			\GPE_WU\Play_SFX_CorpseTrap_Opening	
	3621014260	Play_Elevator			\GPE_WU\Play_Elevator	
	3930718940	Play_GPE_PillarDestroyed			\GPE_WU\Play_GPE_PillarDestroyed	

Effect plug-ins	ID	Name	Type				Notes
	865971538	GPE_JumpPads_Activation_03	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\4B\{4B96A81C-5732-D09C-D051-05FFEFA02764}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_JumpPads\GPE_JumpPads_Activation_RC\GPE_JumpPads_Activation_03		643816
	890446006	GPE_JumpPads_03	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\B8\{B85791D6-7480-6C2A-467B-079717D49A03}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_JumpPads\GPE_JumpPads_RC\GPE_JumpPads_03		212692
	904242620	GPE_Elevator_LP	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\22\{2206BF97-C979-8C24-DC7A-497BF7B9F2E9}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_Elevator\GPE_Elevator_LP		5373120
	925500281	GPE_JumpPads_04	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\0C\{0C325A4E-BD6F-41EB-63FF-E18082938322}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_JumpPads\GPE_JumpPads_RC\GPE_JumpPads_04		313696
	929577030	GPE_Elevator_Stop	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\35\{350D5C2E-6B60-67CC-9DF5-226A69CBA018}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_Elevator\GPE_Elevator_Stop		428860
	932156054	GPE_JumpPads_Mecha_04	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\61\{61AF3CBD-DD00-5AD2-580A-A3394977A190}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_JumpPads\GPE_JumpPads_Mecha_RC\GPE_JumpPads_Mecha_04		103474
	978522934	SFX_CorpseTrap_Opening	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\E7\{E75296D8-A45B-9D4E-5778-3B955DFDEC79}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_CorpseTrap\SFX_CorpseTrap_Opening		228578
	1032185961	GPE_JumpPads_Mecha_02	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\D4\{D44EC3B9-1CDD-BFE8-14D1-526B390DC911}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_JumpPads\GPE_JumpPads_Mecha_RC\GPE_JumpPads_Mecha_02		90818
	1037685382	GPE_JumpPads_Mecha_05	G:\Unreal\Unreal_Projects\DiamondProjectTeam03\DiamondProjectTeam03_WwiseProject\.cache\78\{78CA57E8-D4C4-0911-2098-366608671470}.wem		\Actor-Mixer Hierarchy\GPE_WU\GPE\GPE_JumpPads\GPE_JumpPads_Mecha_RC\GPE_JumpPads_Mecha_05		88998

